Ingredient,Combination,Dry,Normal,Oily,Sensitive
Chlorella Minutissima Extract,3,3,3,2,3
Spirulina Platensis Extract,3,3,3,3,2
Codium Fragile Extract,3,3,3,2,3
Ulva Lactuca Extract,1,1,1,1,1
Fucus Vesiculosus Extract,5,6,6,5,5
Gelidium Cartilagineum Extract,3,3,3,3,3
Macrocystis Pyrifera Extract,1,1,1,1,1
Lactobacillus/Algae Extract Ferment,1,1,1,1,1
Codium Tomentosum Extract,4,4,4,4,4
Sargassum Muticum Extract,3,3,3,3,3
Pikea Robusta Extract,1,1,1,1,1
Agarum Cribosum Extract,1,1,1,1,1
Hydrolyzed Algae Extract,2,2,2,2,2
Laminaria Japonica Extract,5,5,5,5,5
Hydrolyzed Ulva Lactuca Extract,2,2,2,2,2
Porphyra Yezoensis Extract,2,2,2,2,2
Chlorella Ferment,1,1,1,1,1
Ecklonia Cava Extract,1,1,1,1,1
Dunaliella Salina Extract,6,6,6,5,5
Undaria Pinnatifida Extract,6,7,7,6,7
Laminaria Cloustoni Extract,1,1,1,1,1
Sargassum Fulvellum Extract,2,2,2,2,2
Hypnea Musciformis Extract,1,1,1,1,1
Jania Rubens Extract,3,3,3,3,3
Aspergillus/Rice Ferment Extract,4,4,4,4,4
Rice Ferment Filtrate (Sake),4,4,4,3,4
Lactobacillus/Centella Asiatica/Gleditsia Sinensis Thorn/Houttuynia Cordata Extract/Phellodendron Amurense Bark/Polygonum Cuspidatum Root/Prunella Vulgaris/Torilis Japonica Extract Ferment Filtrate,1,1,1,1,1
Phaseolus Angularis Seed Extract,1,1,1,1,1
Saccharomyces/Camellia Sinensis Extract Ferment Filtrate,1,1,1,1,1
Lactobacillus/Rice Ferment Filtrate,1,1,1,1,1
Bacillus/Cordyceps Sinensis/Ganoderma Lucidum/Inonotus Obliquus/Lentinus Edodes/Phellinus Linteus/Schizophyllum Commune/Tricholoma Matsutake Extract Ferment Filtrate,1,1,1,1,1
Algae Oligosaccharides,1,1,1,1,1
Macrocystis Pyrifera (Kelp) Protein,1,1,1,1,1
Chlorhexidine Digluconate.,1,1,1,1,1
Sd Alcohol 40-B,6,6,7,5,3
Polybutylene Glycol/Ppg-9/1 Copolymer,3,3,4,3,2
Bentonite,26,23,27,26,15
Sapindus Mukurossi Peel Extract,3,4,4,3,2
Uncaria Gambir Extract,2,3,3,1,0
Thymus Serpillum Extract,3,4,4,3,3
Peg-5 Glyceryl Stearate,2,3,3,2,1
Sodium Metabisulfite,28,29,29,27,22
Rosa Dama-scena Flower Water,0,0,0,0,0
Anthemis NobilisFlower Oil,0,0,0,0,0
CitricAcid,0,0,0,0,0
Pheno-xyethanol.,0,0,0,0,0
* Essential Oil,0,0,1,1,0
-Amazonian clay: Provides total balancing for better,0,0,0,0,0
longer,0,0,0,0,0
truer wear. -Vitamin E: Acts as an anti-inflammatory emollient and protects against free radical damage. -Vitamin A: Powerful antioxidant that minimizes the signs of aging while it supports collagen production and moisture retention in the skin. -Chamomile Extract: Rich in essential oils,0,0,0,0,0
this natural plant extract is anti-allergenic and anti-inflammatory,0,0,0,0,0
and it has been known to treat and heal dry or damaged skin.,0,0,0,0,0
Peg/Ppg-18/18 Dimethicone,10,10,9,8,7
Ahnfeltia Concinna Extract,1,1,0,0,0
Olea Europaea (Olive) Fruit Extract,7,7,6,6,5
Peg-150,2,2,1,1,1
Pyridoxine Dipalmitate,2,2,1,1,1
Triticum Vulgare (Wheat) Bran Extract,3,3,2,2,1
**Natural.,1,1,1,1,1
Tillandsia Usneoides Extract,2,2,2,2,2
Ceratonia Siliqua (Carob) Fruit Extract,3,3,3,3,3
PCA Dimethicone,3,3,3,3,3
Visit the Jack Black boutique,0,0,0,0,0
Hydrolyzed Corn Protein,1,0,1,1,1
Glutamic Acid (Derived from Fermented Grains),1,0,1,1,1
Cetearyl Olivate (Derived from Olive),1,0,1,1,1
Sorbitan Olivate (Derived from Olive),1,0,1,1,1
Cyamopsis Tetragonoloba (Guar) Gum,4,3,4,4,3
Apricot Kernel Amino Acid,1,0,1,1,1
Alkanna Tinctoria Root Extract,1,0,1,1,1
Jasminum Grandiflorum (Jasmine) Flower Wax,1,0,1,1,1
Helichrysum Arenarium (Everlasting) Extract,1,1,1,1,1
Triticum Vulgare (Wheat) Flour Lipids,0,0,0,0,0
Alteromonas Ferment Extract,5,5,5,5,5
Tetraacetylphytosphingosine,1,1,1,1,1
Ocimum Basilicum (Basil) Oil,0,0,0,0,0
Lavandula Hybrida (Lavandin) Oil,1,1,1,1,0
Visit the La Mer boutique,1,1,1,1,1
Mandelic Acid,13,12,13,12,9
Ethlhexyl Palmitate,1,1,1,1,1
Evodia Rutaecarpa Fruit Extract,7,7,7,7,7
Faex/Yeast Extract/Extrait De Levure,3,3,3,3,3
Opuntia Coccinellifera Flower Extract,2,2,2,2,2
Silanetriol,6,6,6,6,4
Bismuth Oxychloride (Ci 77163).,1,1,1,1,1
L-Tyrosine,3,3,3,2,3
Dimethyl MEA (DMAE),2,2,2,1,2
Acetyl Carnitine HCl,1,1,1,1,1
Phosphatidylcholine,9,8,9,9,8
Thioctic Acid (Alpha-Lipoic Acid),1,1,1,1,1
Rosa Moschata (Rosehip) Seed Oil,1,1,1,1,1
Saccaromyces Ferment,1,1,1,1,1
Magnesium Aspartate,17,16,17,13,16
Rhodiola Rosea Root Extract,7,7,7,6,6
Phytic Acid,17,13,15,17,13
Carnosine,2,2,2,2,2
Elaeis Guineensis (Palm) Oil,14,14,14,13,10
Astaxanthin,3,3,3,3,2
Tocotrienols,9,9,9,9,9
Alanyl Glutamine.,1,1,1,1,1
Apricot Kernel Oil,8,8,8,8,8
Zea Mays Starch,1,1,1,1,1
Corn Starch,5,5,5,5,4
Shea Butter,11,12,12,11,9
Cera Alba,3,3,3,3,3
Beeswax,12,13,12,10,12
Cire Dabeille,2,2,2,2,2
Ci 14700,3,4,3,3,4
Ci 19140,3,4,3,3,4
Yellow 5,4,6,4,4,5
Saccharomyces/Xylinum/ Black Tea Ferment,2,3,2,2,2
Hydrolyzed Linseed Extract,2,2,1,2,1
Acetyl Tetrapeptide-9,4,5,4,4,3
Poloxamer 338,6,6,6,6,5
Sorbitan Tristearate,6,6,6,6,6
Myristyl Alcohol,10,11,11,10,6
Hydrogentated Polyisobutene,1,1,1,1,1
Chlorella Protothecoides Oil,5,5,5,5,5
Algae Exopolysaccharides,7,7,7,7,7
Cynara Scrolymus (Artichoke) Leaf Extract,1,1,1,1,1
Astragalus Membranaceous Root Extract,1,1,1,1,1
Atractyloides Macrocephala Root Extract,1,1,1,1,1
Bupleurum Falcatum Root Extract,2,2,2,2,2
Methyl Glucoside Phosphate Proline Lysine Copper Complex,2,2,2,1,1
Stearalkonium Bentonite,1,1,1,1,1
Coumarin.,2,2,2,2,2
Zinc Stearate,0,0,0,0,0
Aqua/Water/Eau,4,4,4,4,4
Serica/Silk Powder/Poudre De Soie,0,0,0,0,0
Camellia Oleifera Leaf Extract,11,10,11,11,7
Carica Papaya Fruit Extract,1,1,1,1,1
Chamo Milla Recutita Flower Extract,0,0,0,0,0
Olea Europaea Fruit Extract,0,0,0,0,0
[+/-: Iron Oxides (Ci 77499,0,0,0,0,0
Ci 77492)].,0,0,0,0,0
Centellaasiaticaleafwater,1,1,1,1,1
Caprylic/Ca- Prictriglyceride,1,1,1,1,1
Diisostearylmalate,1,1,1,1,1
Polyglyceryl-3 Methylglucose Dis- Tearate,1,1,1,1,1
Butyrospermum Parkii (Shea) Bu-Tter,1,1,1,1,1
Glycerylstearate,1,1,1,1,1
Mac- Adamiaternifolia Seed Oil,1,1,1,1,1
Cetearyl Alco-Hol,1,1,1,1,1
Hydrogenatedpoly(C6-14 Olefin),1,1,1,1,1
Hy- Drogenated Polydecene,1,1,1,1,1
Hydrogenatedpolyisobutene,1,1,1,1,1
Palm-Iticacid,1,1,1,1,1
Tocopherylacetate,1,1,1,1,1
Stearicacid,1,1,1,1,1
Phe-Noxyethanol,1,1,1,1,1
Madecassic A-Cid,1,1,1,1,1
Asiaticacid,1,1,1,1,1
Spirulina Platensispow- Der,1,1,1,1,1
Polysorbate20,1,1,1,1,1
Ethylhexylgl-Ycerin,1,1,1,1,1
Lavandulaangustifolia (Lavender) Oil,1,1,1,1,1
Cer-Amidenp,1,1,1,1,1
Citrusgrandis (Grapefruit) Peel Oil,1,1,1,1,1
Hydrogenatedlecithin,1,1,1,1,1
Rosmarinus Officinalis (Rosemary) Leafoil,1,1,1,1,1
Anthemisnobilis Flower Oil,1,1,1,1,1
Sodiumhya-Luronate,1,1,1,1,1
Centellaasiatica Extract,1,1,1,1,1
Theob-Roma Cacao (Cocoa) Extract,1,1,1,1,1
Ho- Uttuyniacordataextract,1,1,1,1,1
Anibarosodora (Rosewood)Wood Oil,1,1,1,1,1
Centella Asiaticameristem Cell Culture,1,1,1,1,1
Ar-Temisia Absinthium Extract,1,1,1,1,1
Arnicamonta-Na Flower Extract,1,1,1,1,1
Gentiana Lutearoot Extract,1,1,1,1,1
Sucrose Laurate,2,2,2,2,2
Sodium Glycero-Phosphate,1,1,1,1,1
Selaginella Lepidophylla Extr- Act,1,1,1,1,1
Potassiummagnesiumaspartate,1,1,1,1,1
Ly-Solecithin,1,1,1,1,1
Magnesiumgluconate,1,1,1,1,1
Calciumgluconate,1,1,1,1,1
Sodiumascorbylphosphate,1,1,1,1,1
Sodiumbenzoate,1,1,1,1,1
Gelidiella Acerosa Extract,8,7,8,8,7
Hordeum Vulgare (Barley) Extract/Extrait D'orge,1,0,1,1,1
Padina Pavonica Thallus Extract,1,0,2,2,1
Hydrolyzed Rice Extract,7,6,8,8,4
Ppg-6-Decyltetradeceth-30,4,3,4,4,3
Water**,1,1,1,1,1
Aloe Barbadensis (Aloe Vera) Leaf Juice*,2,2,2,2,2
Argania Spinosa (Argan) Kernel Oil*,7,7,7,7,7
Glyceryl Stearate**,6,6,6,6,6
Glycerin**,6,6,6,6,6
Cetyl Alcohol**,1,1,1,1,1
Ethylhexyl Palmitate**,1,1,1,1,1
Dicapryl Carbonate**,1,1,1,1,1
Butyrospermum Parkii (Shea Butter)**,1,1,1,1,1
Hydroxyethyl Acrylate/Sodium Acryloyl Dimethyl Taurate Copolymer**,1,1,1,1,1
Caprylic/ Capric Triglyceride**,1,1,1,1,1
Xylitylglucoside**,1,1,1,1,1
Anhydroxylitol**,1,1,1,1,1
Sodium Stearoyl Glutamate**,1,1,1,1,1
Squalane**,1,1,1,1,1
Glyceryl Caprylate**,1,1,1,1,1
Stearic Acid**,1,1,1,1,1
Polys/orbate-60**,1,1,1,1,1
Glyceryl Undecylenate**,1,1,1,1,1
Cucumis Sativus (Cucumber) Fruit Extract**,1,1,1,1,1
Xanthan Gum**,6,6,6,6,6
Sodium Hyaluronate**,1,1,1,1,1
Lysolecithin**,1,1,1,1,1
Citrullus Lanatus (Watermelon) Extract**,1,1,1,1,1
Sclerotium Gum**,1,1,1,1,1
Tocopherol**,1,1,1,1,1
Sodium Phytate**,1,1,1,1,1
Potassium Sorbate**,1,1,1,1,1
Glycine Soja (Soybean) Oil**,1,1,1,1,1
Allantoin**,1,1,1,1,1
Ethylhexylglycerin**,1,1,1,1,1
Panthenol**,1,1,1,1,1
Pullulan**,1,1,1,1,1
Citric Acid**.,1,1,1,1,1
Helianthus Annuss (Ssunflower) Seed Oil,0,1,0,0,1
Oenothera Biennis (Evening Primrose) Oil,3,4,3,3,4
Triticum Vulgare (Wheat) Germ Oil,1,2,1,1,2
Carmbomer,0,1,0,0,1
Citrus Grandis (Grapefruit) Fruit Extract,3,2,1,3,1
Calendula Officinalis Flower Extract,11,11,10,10,10
Tocopeherol,0,1,0,0,1
Yellow 6 (CI 15985),1,2,1,1,2
Red 40 (CI 16035),1,2,1,1,1
Limonene. Linalool.,0,1,0,0,1
Coco-Caprylate,3,3,3,3,3
Dextrin Palmitate,10,10,10,10,8
Sorbitan Sesquioleate,9,9,9,8,9
Patented Echinacea Purpurea 'Greenenvytm' Root Extract,1,1,1,1,1
Crambe Abyssinica Seed Oil,2,2,2,2,1
Amber Powder,3,3,3,3,3
Amino-Esters-1,2,2,2,1,2
Bidens Pilosa Extract,5,5,5,4,3
Cananga Odorata Flower Oil,6,6,6,6,6
Cardiospermum Halicacabum Flower/Leaf/Vine Extract,1,1,1,1,1
Corcuma Longa (Turmeric) Root Extract,1,1,1,1,1
Echinacea Purpurea Extract,4,4,4,4,4
Gossypium Herbaceum (Cotton) Seed Oil,5,5,5,4,3
Helianthus Annuus (Sunflower) Seed Oil Unsaponifiables,2,2,2,2,2
Linum Usitatissimum (Linseed) Seed Oil,8,10,8,7,6
Moringa Oleifera Seed Oil,9,10,9,9,10
Ormenis Multicaulis (Chamomile) Flower Oil,1,1,1,1,1
Ribes Nigrum (Black Currant) Seed Oil,5,5,5,5,4
Silica Silylate,10,8,11,11,7
Spilanthes Acmella Flower Extract,6,6,6,6,6
Water (Aqua),3,3,3,3,3
Zingier Officinale (Ginger) Root Oil.,1,1,1,1,1
Citrus Aurantium Dulcis (Orange) Peel Oil*,14,13,15,14,6
Pelargonium Graveolens Flower Oil*,12,10,13,12,7
Lavandula Angustifolia (Lavender) Oil*,11,10,12,11,7
Amyris Balsamifera Bark Oil*,3,3,4,4,0
Citrus Aurantium Bergamia (Bergamot) Fruit Oil*,12,11,13,12,9
Eugenia Caryophyllus (Clove) Leaf Oil*,0,1,1,1,0
Eucalyptus Globulus Leaf Oil*,1,2,2,2,1
Zingiber Officinale (Ginger) Root Oil*,0,1,1,1,0
Epilobium Angustifolium Flower/Leaf/Stem Extract,16,13,17,16,15
Cistus Incanus Flower/Leaf/Stem Extract,0,1,1,1,0
Sucrose**,3,4,4,4,0
Bambusa Vulgaris (Bamboo) Extract,5,5,6,5,3
Pisum Sativum (Pea) Extract,9,9,10,9,7
Albizia Julibrissin Bark Extract,10,10,11,11,8
Glucosamine Hcl,7,7,8,7,4
Beeswax/Cera Alba/Cire D'Abeille,0,1,1,1,0
Iron Oxides (Ci 77491)*,0,1,1,1,0
Organic Sucrose (Brown Sugar). Essential Oil**.,0,1,1,1,0
Rosa Canina (Rosehip) Seed Oil,0,1,0,0,1
Salvia Hispanica (Chia) Seed Oil,0,1,0,0,1
CoQ10,0,1,0,0,1
Hippophae Rhamnoides L (Sea Buckthorn) Oil,0,1,0,0,1
Rosa Centifolia Flower Extract (Rose Extract),0,1,0,0,1
Citrus Aurantium (Neroli) Oil.,0,1,0,0,1
Xantahn Gum,1,1,1,1,1
Vaccinium Myrtillus (Bilberry) Fruit Extract,4,5,4,4,5
Acer Saccarum (Sugar Maple) Extract,2,1,1,2,1
Sodium Levulinate,8,7,7,8,7
Calcium Ascorbate,7,6,6,7,5
Sodium Anisate,6,5,5,6,5
Calcium Threonate,2,2,2,2,2
Benzyl Benzoate.,4,4,4,3,4
PEG-240/HDI Copolymer Bis-Decyltetradecet-20 Ether,1,1,1,1,1
Polymethylsilsequioxane,1,1,1,1,1
Calluna Vulgaris Extract,1,1,1,1,1
Dispacus Sylvestris Extract,1,1,1,1,1
Crysanthemum Parthenium (Feverfew) Extract,1,1,1,1,1
Avena Sative (Oat) Kernel Extract*,1,1,1,1,1
CAlendula Officinalis Flower Extract*,1,1,1,1,1
Nepeta Cataria Extract*,3,4,4,4,5
Rubus Idaeus (Raspberry) Leaf Extract*,3,4,4,4,5
Baptisia Tinctoria Root Extract*,3,4,4,4,5
Stellaria Media (Chickweed( Extract*+,1,1,1,1,1
Triticum Vulgare (Wheat) Sprout Extract,1,1,1,1,1
Alchemilla Vulgaris Leaf Extract+,2,2,2,1,1
Equisetum Arvense Leaf Extract+,1,1,1,1,1
UrticaDioicia (Nettle) Leaf Extract+,1,1,1,1,1
Simmondsia Chinesis (Jojoba) Seed Oil,2,2,2,2,1
Curcuma Longa (Tumeric) Root Extract,1,1,1,1,1
Lauryl Dimethicone/Polyglycerin-3 Crosspolymer,1,1,1,1,1
Citrus Aurantium Dulcis (Orange) Peel Oil++,1,1,1,1,1
Citrus Aurantifolia (Lime) Oil++,1,1,1,1,1
Pelargonium Graveolens Flower Oil++,1,1,1,1,1
Rosmarinus Officinalis (Rosemary) Leaf Oil++,1,1,1,1,1
Linalool. *Napiers original formula. +Napiers aqua formula. ++Fragrances.,1,1,1,1,1
Tocopheryl Acetate (Vitamin E),6,5,6,6,5
Ascorbic Acid (Vitamin C),3,2,3,3,3
Panthenol (Vitamin B5),4,3,4,4,4
Brassica Oleracea (Kale) Leaf Extract,2,1,2,2,2
Spinacia Oleracea (Spinach) Leaf Extract,3,1,3,3,2
Medicago Sativa (Alfalfa) Extract,5,4,5,5,5
Aloe Barbadensis (Aloe Vera) Leaf Extract,2,1,2,2,2
Natural Fragrance,4,3,4,4,4
Chlorophyll.,1,0,1,1,1
Sorbic Acid. *PITERA™.,0,0,0,0,0
Diisostearyl Malate,4,4,4,4,3
Oryza Sativa (Rice) Bran Wax,1,1,1,1,1
Indigofera Tinctoria Leaf Extract,2,2,2,2,2
Polygonum Tinctorium Leaf/Stem Extract,1,1,1,1,1
Tetrasodium Tetracarboxymethyl Naringeninchalcone,1,1,1,1,1
Amorphophallus Konjac Root Powder,3,3,3,3,3
Sodium Dilauramidoglutamide Lysine,4,4,4,4,4
Titanium Dioxide (Ci77891),1,1,1,1,1
Tin Oxide (Ci 77861),2,2,2,2,2
Mica (Ci 77019).,3,3,3,3,3
Butyrospermum Parkii Butter/Shea Butter,1,1,1,1,1
Hydroxypropyl Tetrahydropyrantriol,3,3,3,3,3
Sodium Tetrahydrojasmonate,2,2,2,2,2
Rosmarinus Officinalis Leaf Oil/Rosemary Leaf Oil,0,0,0,0,0
Lavandula Hybrida Oil,5,6,6,5,6
Cucumis Sativus Fruit Extract/Cucumber Fruit Extract,0,0,0,0,0
Curcuma Longa Extract/Turmeric Root Extract,0,0,0,0,0
Sclareolide,1,1,1,1,1
Rosa SPP/Rose Flower Oil,0,0,0,0,0
Jasminum Officinale Extract/ Jasmine Extract,0,0,0,0,0
Citric Acid.,16,14,14,16,11
Euterpe Oleracea Sterols,1,1,1,0,1
Oleic Acid,7,6,7,6,5
Isoamyl Cocoate,1,1,1,0,1
Cetyl Palmitate,13,13,13,9,7
Sorbitan Palmitate,5,5,5,3,4
Sodium Gluconate.,1,1,1,0,1
Microcrystalline Wax (Cera Microcristallina),1,1,1,1,1
Dimethylacrylamide/Sodium Acryloyldimethyltaurate Crosspolymer,4,4,4,4,4
Sorbitan Tristearatee,0,0,0,0,0
Thylparaben,0,0,0,0,0
Saccharomyces Ferment Lysate Filtrate,4,4,4,4,3
Methylisothiazolinone,11,6,10,9,5
Syzygium Jambos Leaf Extract,4,3,4,4,2
Iron Oxides (Ci 77492),16,15,15,16,11
Tocopherol.,24,23,23,22,17
* essential oil,0,1,1,0,0
SD Alcohol 40-B,6,6,6,5,3
Magnesium Aluminum Silicate,37,32,35,36,21
Potassium Ascorbyl Tocopheryl Phosphate,0,0,0,0,0
Thiotaurine,1,0,1,1,0
Ginseng Extract,1,1,1,1,0
Wild Thyme Extract,0,0,0,0,0
Isopropyl Alcohol,8,8,8,7,5
Visit the MAKE UP FOR EVER boutique,0,0,0,0,0
Lauryl Peg/Ppg-18/18 Methicone,2,2,2,2,2
Acetyl Octapeptide-3,2,2,2,1,1
Dipeptide Diaminobutyroyl Benzylamide Diacetate,2,2,2,2,2
Vitis Vinifera (Grape) Seed Extract,11,11,11,10,7
Prunus Domestica Seed Oil,1,1,1,1,1
Magnolia Acuminata Bark Extract,1,1,1,1,1
Lithospermum Officinale Extract,0,0,0,0,0
Agaricus Bisporus (Mushroom) Extract,0,0,0,0,0
[+/-: Titanium Dioxide (Ci 77891),1,1,1,1,1
Canola Oil Sunflower Seed Oil Unsaponifiables,1,1,1,1,1
Orange Peel Oil,1,1,1,1,1
Coriander Seed Oil,2,2,2,2,2
Calophyllum Inophyllum Seed Oil,3,3,2,2,3
Rosa Rubiginosa Seed Oil,2,2,2,2,2
Grapefruit Peel Oil,1,1,1,1,1
Ginger Root Oil,1,1,1,1,1
Acerola Fruit Extract.,1,1,1,1,1
-Octinoxate 7.50%,1,0,1,1,0
Octisalate 4.00%,2,1,2,2,1
Oxybenzone 2.50%,2,1,2,2,1
Titanium Dioxide 1.10%: Sunscreen.,1,0,1,1,0
Glucosyl Hesperidin,6,4,6,6,4
Vaccinium Myrtillus Fruit Extract,10,8,10,9,8
Citrus Medica Limonum (Lemon) Fruit Extract,4,3,4,4,4
Steareth-25,1,0,1,1,1
Benzyl Salicylate.,3,2,3,3,3
Triheptanoin,5,5,5,5,4
Isodecyl Neopentanoate,8,7,8,8,4
Simmondsia Chinensis,1,1,1,1,1
(Jojoba) Seed Oil,1,1,1,1,1
Cera Alba/Beeswax/Cire D'abeille,2,2,2,2,2
Acacia Decurrens/Jojoba/Sunflower Seed Wax,1,1,1,1,1
Polyglyceryl-3 Esters,1,1,1,1,1
Distarch,1,1,1,1,1
Phosphate,1,1,1,1,1
Glycine Soja (Soybean),1,1,1,1,1
Oil,1,1,1,1,1
Helianthus,2,2,2,2,2
Annuus (Sunflower) Seed Oil,2,2,2,2,2
Hydrolyzed Sodium,1,1,1,1,1
Hyaluronate,1,1,1,1,1
Hydroxyethyl Acrylate/Sodium,2,2,2,2,2
Acryloyldimethyl Taurate Copolymer,2,2,2,2,2
Rosa Canina,1,1,1,1,1
Fruit Extract,3,3,3,3,3
Rosmarinus Officinalis (Rosemary),2,2,2,2,2
Leaf Extract,3,3,3,3,3
Extract,1,1,1,1,1
Sodium Gluceptate,2,2,2,2,2
Penty- lene Glycol,0,0,0,0,0
Citrus Au- rantium Dulcis (Orange) Fruit Extract,0,0,0,0,0
Sodium Tocopheryl Phosphate,0,0,0,0,0
Men- thoxypropanediol,0,0,0,0,0
Perfluorononylethyl Stearyl Dimethicone,1,1,1,0,0
Peat Extract(0.5%),2,2,2,0,0
Euphrasia Officinalis Extract*,2,2,2,0,0
Glycyrrhiza Glabra (Licorice) Root Extract*,2,2,2,0,0
Achillea Millefolium Flower Extract*,2,2,2,0,0
Aesculus Hippocastanum (Horse Chestnut) Leaf Extract*,2,2,2,0,0
Rhodiola Rosea Root Extract*,2,2,2,0,0
Vaccinium Myrtillus Fruit Extract*,2,2,2,0,0
Stellaria Media (Chickweed) Extract**,1,1,1,0,0
Viola Tricolor Extract+,1,1,1,0,0
Rosa Damascena Flower Extract+,1,1,1,0,0
Spiraea Ulmaria Flower Extract+,1,1,1,0,0
Althaea Officinalis Root Extract+,1,1,1,0,0
Peg-10 Rapeseed Sterol,3,3,3,2,2
Glycereth-20,2,2,2,1,1
C12-20 Alkyl Glucoside,6,6,6,3,3
Alanyl Glutamine,1,1,1,1,1
Iron Oxides(Ci 77491),1,1,1,0,0
Fragrance++,2,2,2,1,1
Linalool*. *Fragrances Of Natural Origin,1,1,1,0,0
Dicapryl Carbonate,1,1,1,0,1
Simmondsia Chineses (Jojoba) Seed Oil*,1,1,1,0,1
Opuntia Tuna Extract(Prickly Pear),1,1,1,0,1
Euterpe Oleracea Fruit Extract (Acai),1,1,1,0,1
Lycium Barbarum (Goji) Extract,1,1,1,0,1
Aristotelia Chilensis (Maqui) Fruit Extract,2,2,2,1,2
And Moringa Oleifera Leaf Extract,1,1,1,0,1
Squalane Olive,1,1,1,0,1
Mixed Tocopherols (Vitamin E),1,1,1,0,1
Olea Europaea (Olive) Oil*,5,5,5,4,5
Linum Usitatissimum (Flaxseed) Oil*,1,1,1,0,1
Borago Officinalis (Borage) Oil*,1,1,1,0,1
Rosa Canina (Rosehip) Fruit Oil*,2,2,2,1,2
Oenothera Biennis (Evening Primrose) Oil*,2,2,2,1,2
Punica Granatum (Pomegranate) Seed Oil*,1,1,1,0,1
Vaccinium Macrocarpon (Cranberry) Seed Oil*,1,1,1,0,1
Natural Fragrance. *Certified Organic.,1,1,1,0,1
Sunflower Seed Oil,3,3,3,3,2
Glyceryl Behenate/Eiosadioate,0,0,0,0,0
Yeast Amino Acids,21,15,19,19,11
Taurine,22,16,20,20,12
Soybean Sterols,0,0,0,0,0
Olive Fruit Oil,1,1,1,1,1
Avocado Oil,2,2,2,2,2
Jojoba Alcohol,2,2,2,2,1
Potassium Jojobate,1,1,1,1,1
Glucosamine HCI,0,0,0,0,0
Cetearyl Methicone,0,0,0,0,0
Peg-6 Caprylic/Capric Glycerides,2,2,2,2,1
Saccharomyces/Rice Ferment Filtrate Extract,1,1,1,1,1
Aspergillus/Camellia Sinensis Leaf Extract Ferment Filtrate,1,1,1,1,1
Saccharum Officinarum Ferment Extract,1,1,1,1,1
Saccharomyces/Rice Ferment Filtrate,1,1,1,1,1
Lactobacillus/Rice Ferment,1,1,1,1,1
Monascus/Rice Ferment,1,1,1,1,1
Lactobacillus/Kelp Ferment Filtrate,1,1,1,1,1
Bacillus/Soybean Ferment Extract,1,1,1,1,1
Soluble Collagen,5,5,5,5,5
Pueraria Thunbergiana Root Extract,1,1,1,1,1
Cnidium Officinale Root Extract,2,2,2,2,2
Paeonia Lactiflora Root Extract,3,3,3,3,3
Chamomilla Recutita (Matricaria) Flower/Leaf Extract,1,1,1,1,1
Cholesteryl Dichlorobenzoate,1,1,1,1,1
Oryza Sativa (Rice) Extract,7,6,6,7,4
Pearl Extract,1,1,1,1,1
Retinol,39,37,38,36,22
Squalane.,1,1,1,1,1
Sea Salt Extract,1,1,1,1,1
Stearoyl Inulin,1,1,1,1,1
Gardenia Taitensis Flower Extract,2,2,2,2,2
Blue 1 (CI 42090).,2,2,2,2,2
Sodium Sulfate,6,5,5,6,3
Potassium Nitrate,1,1,1,1,1
Potassium Phosphate,10,10,10,9,9
Helianthus Annuus (Sunflower) Seed Cera (Wax),1,1,1,1,1
Acacia Decurrens Flower Cera (Wax),1,1,1,1,1
Palmitoyl Tripeptide-38,4,5,4,4,4
Avena Sativa (Oat) Kernel Flour,3,2,2,3,2
PEG-75 Stearate,2,2,2,2,2
Sodium Hydroxide.,4,3,4,4,4
Stearyl Dimethicone,4,4,4,4,3
Borago Officinalis Seed Oil,9,9,9,9,7
Retinyl Propionate,5,4,5,4,2
Swertia Chirata Leaf Extract,4,4,4,4,2
Glycine Soja (Soybean) Extract,12,12,12,10,5
Macrocystis Pyrifera (Kelp) Extract,9,7,8,10,4
Hydrolyzed Vegetable Protein,12,11,11,12,8
PVP,17,16,17,17,11
Ahnfeltiopsis Concinna Extract,3,2,3,3,1
Octadecane,2,2,2,2,1
Oleyl Alcohol,5,5,5,5,2
Dioscorea Villosa (Wild Yam) Root Extract,5,5,5,5,3
Hydrolyzed Yeast Extract,2,2,2,2,1
Cetyl Hydroxyethylcellulose,4,4,4,4,3
Polyglucuronic Acid,2,2,2,2,1
Polyglyceryl-3 Caprate,2,2,2,2,1
Yellow 5 (CI 19140),3,3,3,3,2
Red 4 (CI 14700).,2,2,2,2,2
Visit the Estée Lauder boutique,2,2,2,2,1
Soy Amino Acids,3,3,3,3,2
Phenoxyethanol *Hadasei-3.,1,1,1,1,1
Visit the Guerlain boutique,2,2,2,2,2
Lactococcus Ferment Lysate,4,4,4,4,4
Chrondrus Crispus Extract,1,1,1,1,1
Lechithin,1,1,1,1,1
Lepidium Sativum Sprout Extract,6,6,6,5,6
Zingiber Officinale (Ginger) Root Extract.,4,4,4,4,4
-Moisturizing Agent: Plumps the skin. -Biomimetic Mica and Soft-Focus Optical Effect Powders: Blur imperfections. -Boosted Longoza: Restores density and radiance. -Opilia: Reduces the appearance of pores and imperfections.,0,0,0,0,0
Ppg-15 Stearyl Ether,2,2,2,2,0
Avobenzone 3.0%,3,2,3,2,3
Homosalate 8.0%,1,1,1,1,1
Octinoxate 7.5%,5,4,4,5,2
Octisalate 4.5%,4,3,4,3,4
