Ingredient,Combination,Dry,Normal,Oily,Sensitive
Fragrance,171,158,173,155,115
Disodium Edta,169,158,166,158,118
Bht,59,58,61,58,39
Potassium Sorbate,211,198,207,201,169
Snail Secretion Filtrate,7,7,7,7,5
Butylene Glycol Dicaprylate/Dicaprate,11,10,11,8,10
Orbignya Oleifera Seed Oil,3,3,3,3,3
Butyloctyl Salicylate,28,24,26,27,22
Cetyl Peg/Ppg-10/1 Dimethicone,13,13,13,13,12
Cyclohexasiloxane,61,60,62,53,57
Polyglyceryl-4 Isostearate,13,11,13,12,11
Dimethicone/Vinyl Dimethicone Crosspolymer,42,44,44,41,38
Aluminum Hydroxide,42,38,41,38,37
Hexyl Laurate,14,12,14,13,12
Stearic Acid,111,104,109,102,86
Calcium Stearate,6,5,6,5,5
Triethoxycaprylylsilane,45,42,44,42,36
Ethylhexylglycerin,300,279,294,275,222
Citrus Medica Limonum (Lemon) Peel Oil,5,6,6,4,5
Citrus Aurantium Bergamia (Bergamot) Fruit Oil,32,31,32,29,29
Citrus Aurantium Dulcis (Orange) Peel Oil,28,28,28,27,26
Citrus Aurantifolia (Lime) Oil,9,9,9,9,9
Vitis Vinifera (Grape) Seed Oil,20,20,20,17,15
Punica Granatum Seed Oil,9,8,8,9,7
Pinus Sylvestris Leaf Oil,2,2,2,2,2
Persea Gratissima (Avocado) Oil,18,18,18,18,16
Niacinamide,104,100,106,99,91
Citrus Grandis (Grapefruit) Peel Oil,22,21,22,22,21
Anthemis Nobilis Flower Water,6,6,6,6,5
Lactobacillus/Honeysuckle Flower/Licorice Root/Morus Alba Root/Pueraria Lobata Root/Schizandra Chinensis Fruit/Scutellaria Baicalensis Root/Sophora Japonica Flower Extract Ferment Filtrate,4,4,4,4,4
Perfluorohexane,9,9,9,9,7
Olea Europaea (Olive) Leaf Extract,13,12,12,12,11
Eucalyptus Globulus Leaf Oil,25,22,23,25,23
Camellia Sinensis Leaf Extract,127,121,126,115,102
Chrysanthemum Indicum Flower Extract,5,5,5,5,4
Pueraria Lobata Root Extract,7,7,7,7,6
Perfluorodecalin,11,11,11,11,8
Morus Alba Fruit Extract,7,7,7,7,6
Magnolia Kobus Bark Extract,5,5,5,6,5
